recipe_id,recipe_name,cuisine,category,cooking_method,difficulty,prep_time_minutes,cook_time_minutes,total_time_minutes,servings,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,review_count,calories_per_serving,estimated_cost_usd,date_added,is_traditional,is_festival_special,ingredients_list,ingredient_count
RCP00011,Palak Paneer,Pakistani,Main Course,Slow-cooked,Medium,29,67,96,4,Medium,Snack,False,False,False,True,4.6,1236,701,16.89,2024-07-09,True,False,"Onion (1 medium), Garlic (4 cloves), Salt (to taste), Paneer (599g), Coriander (2 tsp), Cumin (1 tsp), Salt (4 tbsp), Tofu (4 tbsp), Vinegar (3 tbsp), Cream (209 ml), Yogurt (478 ml)",11
RCP00012,Sindhi Biryani,Pakistani,Main Course,Grilled,Medium,18,117,135,5,Medium,Dinner,False,False,False,True,3.8,2838,540,5.25,2023-03-23,True,True,"Onion (2 medium), Garlic (5 cloves), Salt (to taste), Mutton (865g), Fenugreek Leaves (1 tbsp), Sugar (3 tbsp), Green Chili (2 medium), Eggs (3 tbsp), Mustard Seeds (1 tbsp), Lemon Juice (2 tbsp), Spinach (1 medium), Basmati Rice (495 g)",12
RCP00013,Nihari,Pakistani,Main Course,Boiled,Easy,16,138,154,6,Medium,Beverage,False,False,False,True,4.8,2914,384,20.81,2024-02-05,True,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Shrimp (891g), Sugar (4 tbsp), Yogurt (487 ml), Garlic (2 medium), Raisins (3 tbsp)",8
RCP00014,Pakistani Main Course Special 14,Pakistani,Main Course,Steamed,Easy,28,141,169,4,Very Hot,Beverage,False,True,True,True,3.7,1640,408,21.41,2025-09-05,True,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Shrimp (482g), All-Purpose Flour (219 g), Milk (294 ml), Water (2 tbsp)",7
RCP00015,Haleem,Pakistani,Main Course,Grilled,Easy,38,47,85,2,Medium,Breakfast,False,False,False,True,3.6,678,226,21.44,2023-03-06,True,False,"Onion (2 medium), Garlic (4 cloves), Salt (to taste), Shrimp (352g), Cauliflower (2 medium), Mustard Seeds (2 tbsp)",6
RCP00016,Chicken Tikka,Pakistani,Main Course,Fried,Easy,20,131,151,4,Medium,Beverage,False,False,False,True,4.9,1712,304,3.18,2025-09-05,False,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Beef (964g), Milk (105 ml), Garlic (1 medium), Vinegar (4 tbsp)",7
RCP00017,Chicken Tikka,Pakistani,Main Course,Boiled,Hard,18,81,99,5,Medium,Snack,False,False,False,True,5.0,4099,703,20.5,2023-07-15,True,True,"Onion (1 medium), Garlic (4 cloves), Salt (to taste), Chicken (935g), Ginger (2 medium), Eggs (1 tbsp), Garam Masala (2 tsp), Chickpea Flour (347 g), Cumin (1 tsp), Oil (2 tbsp), Tamarind Paste (4 tbsp), Water (1 tbsp), Eggs (2 tbsp)",13
RCP00018,Chicken Tikka,Pakistani,Main Course,Boiled,Medium,17,62,79,7,Hot,Breakfast,False,False,False,True,3.9,4786,377,14.28,2024-06-30,True,False,"Onion (2 medium), Garlic (6 cloves), Salt (to taste), Chicken (835g), Peas (1 medium), Carrot (2 medium), Fenugreek Leaves (1 tbsp), Water (3 tbsp), Onion (1 medium)",9
RCP00019,Sajji,Pakistani,Main Course,Roasted,Medium,59,88,147,5,Mild,Lunch,True,False,True,True,4.4,1239,205,7.57,2026-01-25,True,False,"Onion (2 medium), Garlic (7 cloves), Salt (to taste), Chickpeas (357g), Coconut Milk (1 tbsp), Shrimp (3 tbsp), Coconut Milk (1 tbsp), Carrot (2 medium)",8
RCP00020,Chicken Tikka,Pakistani,Main Course,Fried,Hard,25,66,91,4,Medium,Beverage,False,False,False,True,3.7,3849,391,23.82,2024-03-22,True,False,"Onion (3 medium), Garlic (5 cloves), Salt (to taste), Fish (528g), Tamarind Paste (1 tbsp), Mint Leaves (3 tbsp), Ginger (1 medium), Butter (238 ml), Almonds (1 tbsp), Paneer (286 ml), Green Chili (2 medium), Raisins (2 tbsp), Ginger (2 medium), Water (3 tbsp), Ghee (255 ml), Butter (252 ml), Raisins (2 tbsp), Yogurt (395 ml), Mint Leaves (3 tbsp)",19
RCP00021,Paya,Pakistani,Main Course,Pressure-cooked,Easy,36,28,64,5,Hot,Beverage,False,False,False,True,4.6,1279,447,3.43,2025-06-05,False,True,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Beef (689g), Paneer (490 ml), Paneer (411 ml), Lentils (Dal) (1 tbsp), Garam Masala (2 tsp)",8
RCP00022,Karahi,Pakistani,Main Course,Boiled,Easy,40,112,152,4,Hot,Lunch,False,False,False,True,4.1,493,494,4.16,2025-12-10,False,True,"Onion (1 medium), Garlic (9 cloves), Salt (to taste), Beef (842g), Beef (2 tbsp), Sugar (3 tbsp), Sesame Seeds (4 tbsp), Peas (1 medium), Fish (4 tbsp)",9
RCP00023,Pakistani Main Course Special 23,Pakistani,Main Course,Grilled,Hard,24,81,105,3,Mild,Lunch,True,False,False,True,3.7,4996,331,12.15,2025-01-30,True,False,"Onion (2 medium), Garlic (9 cloves), Salt (to taste), Chickpeas (400g), Fenugreek Leaves (4 tbsp), Vinegar (1 tbsp), Paneer (1 tbsp), Semolina (306 g), Chickpea Flour (276 g), All-Purpose Flour (388 g), All-Purpose Flour (337 g), Bell Pepper (1 medium), Mutton (1 tbsp), Mint Leaves (1 tbsp), Tomato (2 medium), Water (4 tbsp), Raisins (1 tbsp)",17
RCP00024,Karahi,Pakistani,Main Course,Baked,Medium,14,108,122,3,Hot,Snack,True,False,True,True,4.7,3804,624,21.65,2023-08-30,False,False,"Onion (2 medium), Garlic (3 cloves), Salt (to taste), Chickpeas (299g), Beef (4 tbsp), Salt (3 tbsp), Almonds (3 tbsp), Chickpeas (1 tbsp), Black Pepper (1 tsp), Salt (2 tbsp), Curry Leaves (2 tbsp), Curry Leaves (3 tbsp), Potato (1 medium)",13
RCP00025,Lahori Chargha,Pakistani,Main Course,Pressure-cooked,Easy,55,65,120,6,Medium,Dinner,True,False,False,True,4.4,4633,282,22.99,2024-01-26,True,False,"Onion (2 medium), Garlic (9 cloves), Salt (to taste), Chickpeas (301g), Tamarind Paste (2 tbsp), Chickpea Flour (494 g)",6
RCP00026,Palak Paneer,Pakistani,Main Course,Boiled,Hard,13,134,147,5,Medium,Breakfast,False,False,True,True,3.8,1694,694,3.41,2025-01-26,True,False,"Onion (2 medium), Garlic (4 cloves), Salt (to taste), Chicken (533g), Spinach (2 medium), Fenugreek Leaves (4 tbsp), Salt (2 tbsp), Sugar (4 tbsp), Tomato (1 medium), Bell Pepper (1 medium), Semolina (408 g), Onion (1 medium), Paneer (131 ml), Bell Pepper (2 medium)",14
RCP00027,Pakistani Main Course Special 27,Pakistani,Main Course,Steamed,Medium,42,25,67,4,Medium,Beverage,True,False,True,True,5.0,1756,429,10.74,2024-08-07,True,False,"Onion (2 medium), Garlic (6 cloves), Salt (to taste), Chickpeas (296g), Fresh Coriander (4 tbsp), Mutton (4 tbsp), Garlic (2 medium), All-Purpose Flour (474 g), Tamarind Paste (1 tbsp), Garlic (1 medium)",10
RCP00028,Nihari,Pakistani,Main Course,Slow-cooked,Medium,17,21,38,5,Very Hot,Snack,False,False,False,True,4.3,133,333,15.26,2024-03-11,True,False,"Onion (1 medium), Garlic (9 cloves), Salt (to taste), Fish (965g), Chicken (2 tbsp), Tamarind Paste (3 tbsp), Semolina (447 g), Cream (128 ml), Cauliflower (1 medium), Water (1 tbsp), Fresh Coriander (3 tbsp), Green Chili (1 medium)",12
RCP00029,Biryani,Pakistani,Main Course,Roasted,Easy,38,139,177,7,Medium,Beverage,False,False,False,True,3.9,3368,663,23.94,2024-05-11,True,False,"Onion (1 medium), Garlic (3 cloves), Salt (to taste), Shrimp (508g), Onion (1 medium), Chicken (3 tbsp), Butter (185 ml), Curry Leaves (4 tbsp)",8
RCP00030,Sajji,Pakistani,Main Course,Roasted,Medium,23,108,131,5,Hot,Breakfast,True,True,False,True,4.4,4613,465,22.8,2024-01-16,False,False,"Onion (1 medium), Garlic (6 cloves), Salt (to taste), Chickpeas (284g), Water (3 tbsp), Garlic (1 medium), Basmati Rice (393 g), Cream (176 ml), Black Pepper (1 tsp)",9
RCP00031,Sindhi Biryani,Pakistani,Main Course,Grilled,Medium,48,120,168,7,Mild,Snack,False,False,True,True,3.8,1787,704,20.64,2024-11-11,True,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Mutton (651g), Black Pepper (1 tsp), Red Chili Powder (2 tsp), Raisins (2 tbsp), Yogurt (152 ml), Fish (4 tbsp), Water (2 tbsp), Yogurt (340 ml)",11
RCP00032,Sindhi Biryani,Pakistani,Main Course,Slow-cooked,Medium,16,89,105,4,Medium,Breakfast,True,False,False,True,3.8,1595,574,13.75,2026-02-07,True,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Chickpeas (496g), Garam Masala (1 tsp), Red Chili Powder (1 tsp), Oil (1 tbsp), Tofu (1 tbsp), Cardamom (1 tsp), Oil (3 tbsp), Oil (4 tbsp), Basmati Rice (433 g), Mint Leaves (2 tbsp), Curry Leaves (4 tbsp)",14
RCP00033,Nihari,Pakistani,Main Course,Grilled,Medium,49,100,149,6,Medium,Lunch,False,False,False,True,3.9,1082,669,12.89,2026-02-13,False,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Fish (531g), Paneer (283 ml), Chickpea Flour (350 g), Shrimp (1 tbsp), Garlic (1 medium), Cashews (2 tbsp)",9
RCP00034,Dal Makhani,Pakistani,Main Course,Fried,Medium,55,168,223,5,Hot,Snack,True,False,False,True,4.3,3398,642,20.22,2024-06-18,False,False,"Onion (2 medium), Garlic (5 cloves), Salt (to taste), Lentils (Dal) (440g), Chickpeas (1 tbsp), Fish (1 tbsp), Coconut Milk (4 tbsp), Wheat Flour (492 g), Milk (167 ml)",9
RCP00035,Paya,Pakistani,Main Course,Boiled,Hard,32,162,194,5,Hot,Breakfast,True,False,True,True,3.9,3784,235,4.15,2023-07-10,True,False,"Onion (3 medium), Garlic (9 cloves), Salt (to taste), Eggs (339g), Mint Leaves (1 tbsp), Eggs (2 tbsp), Oil (2 tbsp), Oil (3 tbsp), Garam Masala (1 tsp), Fresh Coriander (2 tbsp), Mint Leaves (2 tbsp), Carrot (1 medium), Mustard Seeds (4 tbsp), Mint Leaves (3 tbsp)",14
RCP00036,Karahi,Pakistani,Main Course,Roasted,Medium,13,57,70,4,Hot,Snack,True,False,True,True,3.6,597,514,2.71,2024-09-07,True,True,"Onion (1 medium), Garlic (5 cloves), Salt (to taste), Chickpeas (464g), Cloves (2 tsp), Milk (204 ml), Wheat Flour (203 g), Mint Leaves (1 tbsp), Mint Leaves (2 tbsp)",9
RCP00037,Aloo Gosht,Pakistani,Main Course,Steamed,Hard,29,80,109,6,Hot,Breakfast,False,False,False,True,4.5,3579,638,21.35,2023-10-10,False,False,"Onion (1 medium), Garlic (4 cloves), Salt (to taste), Fish (743g), Sesame Seeds (1 tbsp), Black Pepper (1 tsp), Lemon Juice (1 tbsp), Potato (2 medium), Basmati Rice (427 g), Vinegar (3 tbsp), Turmeric (2 tsp), Mustard Seeds (3 tbsp), Spinach (1 medium), Basmati Rice (276 g), Mutton (2 tbsp), Coconut Milk (3 tbsp)",16
RCP00038,Pakistani Main Course Special 38,Pakistani,Main Course,Baked,Medium,18,154,172,7,Mild,Beverage,True,False,False,True,4.1,953,659,24.53,2025-11-11,True,True,"Onion (1 medium), Garlic (3 cloves), Salt (to taste), Chickpeas (398g), Red Chili Powder (2 tsp), Paneer (227 ml), Lentils (Dal) (3 tbsp), Fenugreek Leaves (3 tbsp), Basmati Rice (479 g), Basmati Rice (201 g), Yogurt (390 ml)",11
RCP00039,Dal Makhani,Pakistani,Main Course,Slow-cooked,Easy,48,167,215,7,Medium,Dessert,False,False,False,True,4.4,1394,345,3.39,2024-01-25,False,False,"Onion (2 medium), Garlic (7 cloves), Salt (to taste), Tofu (966g), Almonds (4 tbsp)",5
RCP00040,Biryani,Pakistani,Main Course,Grilled,Easy,58,165,223,2,Hot,Snack,False,False,False,True,3.8,1463,244,3.51,2023-02-26,True,True,"Onion (2 medium), Garlic (6 cloves), Salt (to taste), Fish (352g), Coriander (1 tsp), Fish (1 tbsp), Carrot (2 medium)",7
RCP00041,Pakistani Main Course Special 41,Pakistani,Main Course,Baked,Medium,46,56,102,7,Medium,Breakfast,False,False,False,True,4.2,1736,793,3.77,2025-09-19,True,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Mutton (408g), Cauliflower (2 medium), Paneer (1 tbsp), Mint Leaves (2 tbsp), Fresh Coriander (3 tbsp)",8
RCP00042,Aloo Gosht,Pakistani,Main Course,Fried,Easy,43,18,61,2,Medium,Dessert,False,False,False,True,4.8,4500,798,24.97,2025-10-31,True,False,"Onion (2 medium), Garlic (4 cloves), Salt (to taste), Chicken (989g), Cloves (2 tsp), Mint Leaves (2 tbsp), Fenugreek Leaves (2 tbsp), Curry Leaves (3 tbsp)",8
RCP00043,Sajji,Pakistani,Main Course,Pressure-cooked,Hard,46,53,99,2,Medium,Lunch,False,False,False,True,4.4,3609,328,22.94,2025-11-12,True,False,"Onion (2 medium), Garlic (5 cloves), Salt (to taste), Paneer (987g), Cashews (2 tbsp), Semolina (484 g), Beef (2 tbsp), Peas (1 medium), Raisins (3 tbsp), Turmeric (1 tsp), Paneer (426 ml), Sesame Seeds (3 tbsp), Cauliflower (2 medium), Almonds (4 tbsp), Tomato (1 medium)",15
RCP00044,Lahori Chargha,Pakistani,Main Course,Fried,Easy,19,105,124,7,Mild,Dinner,False,False,False,True,4.3,2933,638,5.76,2023-04-23,True,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Fish (697g), Shrimp (1 tbsp), Curry Leaves (2 tbsp), Fenugreek Leaves (1 tbsp), Butter (193 ml), Oil (4 tbsp)",9
RCP00045,Pakistani Main Course Special 45,Pakistani,Main Course,Steamed,Easy,34,134,168,3,Medium,Breakfast,False,False,False,True,4.1,839,488,21.71,2025-10-22,True,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Chicken (743g), Butter (234 ml), Green Chili (1 medium)",6
RCP00046,Pakistani Main Course Special 46,Pakistani,Main Course,Boiled,Hard,15,83,98,7,Medium,Beverage,False,True,False,True,3.9,4765,264,6.16,2023-04-15,True,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Fish (421g), Garam Masala (2 tsp), Beef (3 tbsp), Tomato (1 medium), Water (4 tbsp), Coconut Milk (3 tbsp), Garam Masala (2 tsp), Fenugreek Leaves (1 tbsp), Garam Masala (2 tsp), Cream (168 ml), Sugar (1 tbsp), Paneer (486 ml)",15
RCP00047,Paya,Pakistani,Main Course,Roasted,Easy,12,60,72,6,Hot,Dinner,False,False,False,True,3.7,4938,559,24.99,2023-10-02,True,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Shrimp (789g), Tomato (1 medium), Cream (146 ml), Tamarind Paste (2 tbsp), Mint Leaves (1 tbsp)",8
RCP00048,Nihari,Pakistani,Main Course,Fried,Hard,32,117,149,4,Very Hot,Dessert,True,True,False,True,4.3,2677,754,14.83,2026-02-07,False,False,"Onion (1 medium), Garlic (6 cloves), Salt (to taste), Lentils (Dal) (243g), Ghee (266 ml), Fenugreek Leaves (1 tbsp), Mustard Seeds (1 tbsp), All-Purpose Flour (221 g), Bell Pepper (1 medium), Mustard Seeds (2 tbsp), Curry Leaves (2 tbsp), All-Purpose Flour (458 g), Coconut Milk (2 tbsp), Semolina (359 g), Green Chili (2 medium), Curry Leaves (2 tbsp), Chickpea Flour (369 g)",17
RCP00049,Chapli Kabab,Pakistani,Main Course,Boiled,Medium,19,40,59,4,Medium,Dinner,True,False,True,True,3.7,1509,463,18.67,2023-12-11,False,False,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Lentils (Dal) (222g), Cumin (2 tsp), Garlic (2 medium), All-Purpose Flour (458 g), Coriander (2 tsp), Sesame Seeds (2 tbsp), Curry Leaves (2 tbsp), Fenugreek Leaves (4 tbsp), Chickpeas (2 tbsp)",12
RCP00050,Pakistani Main Course Special 50,Pakistani,Main Course,Fried,Hard,13,35,48,7,Medium,Lunch,False,False,False,True,4.1,2532,694,21.41,2024-05-29,True,False,"Onion (1 medium), Garlic (5 cloves), Salt (to taste), Beef (630g), All-Purpose Flour (323 g), Lentils (Dal) (4 tbsp), Beef (3 tbsp), Yogurt (328 ml), Cashews (1 tbsp), Coconut Milk (1 tbsp), Cumin (2 tsp), Ginger (2 medium), Curry Leaves (2 tbsp), Garam Masala (2 tsp), Coconut Milk (3 tbsp)",15
RCP00051,Palak Paneer,Pakistani,Main Course,Grilled,Medium,17,88,105,2,Hot,Snack,False,False,False,True,4.5,4443,537,12.21,2025-07-03,True,False,"Onion (3 medium), Garlic (7 cloves), Salt (to taste), Chicken (816g), Sesame Seeds (3 tbsp), Oil (4 tbsp), Paneer (236 ml), Paneer (1 tbsp)",8
RCP00052,Pakistani Main Course Special 52,Pakistani,Main Course,Steamed,Easy,37,100,137,7,Mild,Dessert,True,False,False,True,3.8,4809,724,9.01,2024-11-06,False,False,"Onion (2 medium), Garlic (8 cloves), Salt (to taste), Eggs (208g), Vinegar (2 tbsp), Almonds (3 tbsp), Cumin (1 tsp), Yogurt (178 ml)",8
RCP00053,Pakistani Main Course Special 53,Pakistani,Main Course,Grilled,Medium,23,148,171,4,Mild,Lunch,False,False,False,True,3.9,2359,705,14.7,2025-06-19,False,False,"Onion (1 medium), Garlic (5 cloves), Salt (to taste), Tofu (479g), Cinnamon (1 tsp), Ginger (2 medium), Fenugreek Leaves (3 tbsp), Coconut Milk (4 tbsp), Lentils (Dal) (2 tbsp), Fresh Coriander (3 tbsp), Garam Masala (1 tsp), Wheat Flour (404 g), Mint Leaves (3 tbsp), Paneer (2 tbsp)",14
RCP00054,Seekh Kabab,Pakistani,Main Course,Fried,Hard,57,105,162,5,Medium,Dinner,False,False,True,True,3.6,4433,507,8.56,2023-08-13,True,False,"Onion (2 medium), Garlic (9 cloves), Salt (to taste), Mutton (572g), All-Purpose Flour (302 g), Almonds (1 tbsp), Tomato (1 medium), Garlic (2 medium), Mint Leaves (2 tbsp), Milk (162 ml), Semolina (209 g), Curry Leaves (3 tbsp), Tofu (4 tbsp), Yogurt (305 ml)",14
RCP00055,Paya,Pakistani,Main Course,Slow-cooked,Easy,37,24,61,7,Very Hot,Breakfast,False,False,False,True,4.5,3007,403,24.65,2025-10-06,False,False,"Onion (1 medium), Garlic (8 cloves), Salt (to taste), Shrimp (552g), Wheat Flour (478 g)",5
RCP00056,Pakistani Main Course Special 56,Pakistani,Main Course,Steamed,Easy,54,145,199,3,Mild,Snack,False,False,True,True,4.6,1543,330,17.42,2025-06-02,True,False,"Onion (3 medium), Garlic (9 cloves), Salt (to taste), Shrimp (789g), Fresh Coriander (1 tbsp), All-Purpose Flour (396 g), Peas (1 medium), Chicken (2 tbsp)",8
RCP00057,Pakistani Main Course Special 57,Pakistani,Main Course,Slow-cooked,Easy,20,136,156,5,Mild,Dinner,True,True,False,True,4.8,4266,381,23.44,2024-04-21,False,False,"Onion (3 medium), Garlic (4 cloves), Salt (to taste), Eggs (211g), All-Purpose Flour (388 g), Oil (4 tbsp)",6
RCP00058,Haleem,Pakistani,Main Course,Steamed,Easy,54,16,70,7,Hot,Beverage,True,False,False,True,3.7,158,334,2.28,2025-09-16,True,True,"Onion (3 medium), Garlic (6 cloves), Salt (to taste), Chickpeas (400g), Cloves (1 tsp)",5
RCP00059,Biryani,Pakistani,Main Course,Slow-cooked,Hard,54,92,146,7,Medium,Snack,False,False,False,True,4.2,1802,756,13.68,2024-05-13,True,False,"Onion (1 medium), Garlic (9 cloves), Salt (to taste), Mutton (543g), Bell Pepper (1 medium), Cashews (4 tbsp), Mustard Seeds (4 tbsp), Bell Pepper (2 medium), Cumin (1 tsp), Bell Pepper (1 medium), Curry Leaves (2 tbsp), Salt (3 tbsp), Cinnamon (2 tsp)",13
RCP00060,Dal Makhani,Pakistani,Main Course,Boiled,Medium,10,49,59,6,Mild,Dinner,True,False,False,True,4.4,4306,555,12.56,2024-05-13,True,False,"Onion (3 medium), Garlic (9 cloves), Salt (to taste), Eggs (320g), Paneer (437 ml), Sugar (1 tbsp), Cauliflower (2 medium), Black Pepper (2 tsp), Mint Leaves (1 tbsp), Sesame Seeds (2 tbsp), Bay Leaf (1 tsp)",11
RCP00061,Chicken Tikka,Pakistani,Main Course,Grilled,Hard,58,26,84,4,Medium,Dinner,True,False,False,True,4.4,3721,505,20.96,2024-02-29,True,False,"Onion (1 medium), Garlic (8 cloves), Salt (to taste), Lentils (Dal) (471g), Fenugreek Leaves (2 tbsp), Fenugreek Leaves (2 tbsp), Paneer (4 tbsp), Butter (118 ml), Salt (2 tbsp), Ghee (441 ml), Semolina (296 g), Onion (1 medium), Bay Leaf (1 tsp)",13
RCP00062,Dal Makhani,Pakistani,Main Course,Pressure-cooked,Medium,37,106,143,7,Medium,Dinner,False,False,False,True,3.6,2372,364,21.63,2025-03-03,True,False,"Onion (1 medium), Garlic (9 cloves), Salt (to taste), Chicken (323g), Cinnamon (2 tsp), Water (1 tbsp), Water (3 tbsp), Salt (4 tbsp), Curry Leaves (4 tbsp), Curry Leaves (3 tbsp), Basmati Rice (253 g), Peas (1 medium), Fresh Coriander (4 tbsp)",13
RCP00063,Biryani,Pakistani,Main Course,Pressure-cooked,Easy,22,65,87,7,Very Hot,Beverage,False,False,False,True,4.0,2039,348,20.37,2024-08-13,True,False,"Onion (1 medium), Garlic (9 cloves), Salt (to taste), Chicken (333g), Shrimp (2 tbsp), Oil (4 tbsp)",6
RCP00064,Pakistani Main Course Special 64,Pakistani,Main Course,Slow-cooked,Easy,23,59,82,7,Mild,Lunch,False,False,False,True,4.7,1096,718,18.78,2023-11-12,False,False,"Onion (2 medium), Garlic (5 cloves), Salt (to taste), Beef (819g), Vinegar (3 tbsp), Almonds (2 tbsp)",6
RCP00065,Lahori Chargha,Pakistani,Main Course,Boiled,Easy,11,52,63,2,Hot,Beverage,True,False,False,True,4.6,3472,327,11.57,2023-09-14,True,False,"Onion (2 medium), Garlic (9 cloves), Salt (to taste), Eggs (335g), Black Pepper (2 tsp), Eggs (2 tbsp), Garam Masala (2 tsp), Tofu (2 tbsp)",8
RCP00066,Lahori Chargha,Pakistani,Main Course,Boiled,Medium,57,56,113,7,Mild,Snack,False,False,False,True,4.4,1428,413,17.97,2023-03-02,False,False,"Onion (2 medium), Garlic (4 cloves), Salt (to taste), Paneer (834g), Spinach (1 medium), Tomato (2 medium), Red Chili Powder (2 tsp), Coconut Milk (1 tbsp), Water (1 tbsp), Tofu (2 tbsp), All-Purpose Flour (207 g), Garlic (2 medium)",12
RCP00067,Pakistani Main Course Special 67,Pakistani,Main Course,Steamed,Medium,16,81,97,5,Hot,Beverage,False,False,False,True,4.0,3102,489,15.39,2024-05-26,True,False,"Onion (1 medium), Garlic (8 cloves), Salt (to taste), Chicken (633g), Basmati Rice (295 g), Butter (243 ml), Paneer (285 ml), Tamarind Paste (1 tbsp), Chickpea Flour (277 g), Vinegar (1 tbsp), Semolina (385 g), Fish (3 tbsp)",12
RCP00068,Haleem,Pakistani,Main Course,Baked,Easy,51,142,193,6,Mild,Dinner,False,True,False,True,4.8,224,201,9.93,2026-02-10,True,False,"Onion (3 medium), Garlic (7 cloves), Salt (to taste), Fish (586g), Raisins (3 tbsp)",5
